Mom,ID,f.ind,Mi,RGR23,RGR29,RGR11,RGR17,RGR35,expt
28,2,28_2,12.88,0.02492284,0.030890014,0.010543519,0.008726263,0.012245184,July 8 2023
28,3,28_3,9.34,0.037660258,0.060884029,0.002109706,0.004538734,0.026218059,July 8 2023
28,4,28_4,10.82,0.012872239,0.021639159,0.010509363,9.1100545921199e-05,0.039402702,July 8 2023
28,5,28_5,10.53,0.019669668,0.026798412,0.00642387,0.011084707,0.045228252,July 8 2023
28,6,28_6,12.8,0.022101663,0.025357072,-0.002596924,0.029155358,0.016071095,July 8 2023
28,7,28_7,10.32,0.009955702,0.018852937,0.009566743,0.011439405,0.010418672,July 8 2023
28,8,28_8,12.89,0.028839703,0.034482718,0.001616133,0.008560588,0.023312844,July 8 2023
28,9,28_9,9.2,0.023896387,0.015828549,0.003408115,0.004714096,0.037354394,July 8 2023
28,10,28_10,9.62,0.034055218,0.022754618,0.001146254,0.005428514,0.056592563,July 8 2023
28,11,28_11,9.68,0.02386945,0.020103584,0.004421308,0.005068433,0.02289187,July 8 2023
28,12,28_12,10,0.01571232,0.032817397,0.003057753,0.001450572,0.033122192,July 8 2023
28,13,28_13,10.53,0.027234296,0.034074122,0.00577835,-0.004794723,0.014868207,July 8 2023
28,14,28_14,16.69,0.022836389,0.023710257,0.01011665,0.005254293,0.027103071,July 8 2023
28,15,28_15,10.92,0.024798422,0.032157698,0.008036579,0.005365031,0.012384128,July 8 2023
28,16,28_16,7.61,0.024745151,0.027346886,0.00881575,-0.001281977,0.04047861,July 8 2023
29,1,29_1,9.1,0.019271308,0.028925672,0.005768748,0.010612274,0.0146175,July 8 2023
29,2,29_2,13.55,0.030702562,0.015129252,0.003243172,0.009353533,0.010689551,July 8 2023
29,3,29_3,9.24,0.024074155,0.031504183,0.005521567,0.001405906,0.041688487,July 8 2023
29,4,29_4,14.82,0.011932874,0.02335139,0.006147111,0.009804426,0.021359719,July 8 2023
29,5,29_5,11.46,0.023315277,0.022817361,0.005852575,0.005808802,0.031567645,July 8 2023
29,6,29_6,19.35,0.026557947,0.020492763,0.002472556,0.012475319,0.026127742,July 8 2023
29,7,29_7,12.36,0.028763634,0.018777273,0.000272701,0.021228208,0.023390912,July 8 2023
29,8,29_8,12.75,0.0271084,0.036516185,0.008228935,0.002270115,0.010023872,July 8 2023
29,9,29_9,10.9,0.03569052,0.029548637,0.001454264,0.012533617,0.014189261,July 8 2023
29,10,29_10,12.66,0.032253391,0.014846847,0.009401777,0.004131815,0.013557504,July 8 2023
29,11,29_11,10.25,0.02951701,0.015144766,0.009209855,0.00216143,0.030324783,July 8 2023
29,12,29_12,9.43,0.02319633,0.019314907,0.003366063,0.009702124,-0.003667852,July 8 2023
29,13,29_13,8.09,0.035984849,0.046925669,0.003376203,0.006903192,-0.002268359,July 8 2023
20b,1,20b_1,8.5,0.026702655,-0.006398735,0.001399363,0.025628184,0.002413858,July 8 2023
20b,2,20b_2,11.98,0.016139496,0.020820079,0.00102267,0.014279153,0.024480793,July 8 2023
20b,3,20b_3,16.15,0.022670137,0.023206587,0.007764644,0.005267553,0.051216745,July 8 2023
20b,4,20b_4,10.81,0.012687646,0.043422523,0.00380871,0.014700614,0.019184444,July 8 2023
20b,5,20b_5,12.04,0.028956514,0.030896765,0.00042524,0.011161675,0.028531881,July 8 2023
20b,6,20b_6,14.5,0.027036235,0.022648772,0.00416088,0.005047739,0.033741064,July 8 2023
20b,7,20b_7,12.84,0.017314987,0.012074569,0.006146088,-0.015925841,NA,July 8 2023
20b,8,20b_8,14.76,0.023044128,0.026723885,0.006377926,0.003924478,0.033092443,July 8 2023
20b,9,20b_9,10.45,0.021683596,0.026752568,0.006519761,-0.001285411,0.039895274,July 8 2023
20b,10,20b_10,16.65,0.022584906,0.009099958,0.00620114,0.017573153,0.013080276,July 8 2023
20b,11,20b_11,12.12,0.016890158,0.040491508,0.002698615,0.017484799,0.004162868,July 8 2023
20b,12,20b_12,16.21,0.005357908,0.0253558,0.006212896,0.009937557,0.015676573,July 8 2023
20b,13,20b_13,8.94,0.012709205,0.047317601,0.00157484,0.001626098,0.036375509,July 8 2023
20b,14,20b_14,9.02,0.022342919,0.027174573,0.005470467,0.006810207,0.035305912,July 8 2023
20b,15,20b_15,7.23,0.021769828,0.038741116,0.000528743,0.008783117,0.028693927,July 8 2023
21,1,21_1,13.63,0.030302948,0.02694684,0.012109014,-0.00059378,0.028628165,July 8 2023
21,2,21_2,11.17,0.013397691,0.027511526,0.002848734,0.00472689,0.030977862,July 8 2023
21,3,21_3,11.02,0.024844927,0.020708208,0.007927911,0.011858327,-0.006424593,July 8 2023
21,4,21_4,12.59,0.024794265,0.022906707,0.004514261,0.015383324,0.012313541,July 8 2023
21,5,21_5,11.18,0.0292533,0.021441586,0.008819266,-0.000792938,0.035535183,July 8 2023
21,6,21_6,13.54,0.010594694,0.011945745,0.008730881,0.01049621,0.018366674,July 8 2023
21,7,21_7,15.24,0.03426423,0.020825073,0.00486413,0.007916053,0.031254969,July 8 2023
21,8,21_8,9.37,0.032997226,0.007770615,0.00268362,0.010888625,0.016971056,July 8 2023
21,9,21_9,8.69,0.018406336,0.030749073,0.004160279,0.015747426,0.034780228,July 8 2023
21,10,21_10,11.09,0.026507851,0.040644606,0.001115811,0.019054244,0.012758076,July 8 2023
21,11,21_11,8.79,0.032122423,0.026055984,0.002607669,0.0035362,0.06475589,July 8 2023
21,12,21_12,9.56,0.037244421,0.030490211,0.006162888,-0.010120888,0.030641578,July 8 2023
21,13,21_13,9.08,0.016900597,0.028023798,0.006859088,0.00145569,0.042852892,July 8 2023
21,14,21_14,8.37,0.022145658,0.024673004,0.003640963,-0.003659726,-0.00944721,July 8 2023
21,15,21_15,8,0.030075549,0.040520671,0.00538106,-0.000574145,0.054277848,July 8 2023
22,1,22_1,10.49,0.0280004,0.05054838,0.003383729,-0.001040939,0.025294249,July 8 2023
22,2,22_2,9.04,0.033369563,0.040492133,0.001003718,0.009112943,0.044012379,July 8 2023
22,3,22_3,8.89,0.044559465,0.031200038,0.000876992,0.012274831,0.027031661,July 8 2023
22,4,22_4,10.49,0.02979612,0.024915594,0.003721968,0.006748099,0.014894674,July 8 2023
22,5,22_5,8.45,0.009002173,0.049068802,0.003867953,-0.002264598,0.040146937,July 8 2023
22,6,22_6,11.32,0.03404074,0.039119254,-0.00093406,0.017063421,0.021601443,July 8 2023
22,7,22_7,14.14,0.044914466,0.028829774,0.005927711,0.004334592,0.024027134,July 8 2023
22,8,22_8,10.63,0.034910962,0.034111706,0.003406412,0.007669622,0.034663567,July 8 2023
22,9,22_9,10.46,0.030010966,0.022862329,0.007052197,0.003653505,0.040265356,July 8 2023
22,10,22_10,16.66,0.029086315,0.032914164,0.006072945,-0.007698014,0.045272961,July 8 2023
22,11,22_11,6.86,0.023546853,0.034483328,0.000299134,0.015333709,0.019735742,July 8 2023
22,12,22_12,9.82,0.03787017,0.039498067,0.001559249,0.013559223,0.020634172,July 8 2023
22,13,22_13,7.98,0.041603049,0.014476167,0.001287531,0.012617105,0.040423749,July 8 2023
22,14,22_14,6.67,0.028014831,0.045631661,0.006730671,0.009148741,0.031855812,July 8 2023
22,15,22_15,8.17,0.045823646,0.037752164,0.004092092,0.012007367,0.008568165,July 8 2023
22,16,22_16,10.41,0.051849544,0.017577806,0.006105694,0.013749445,0.031626025,July 8 2023
23,1,23_1,12.03,0.013436822,0.024517131,0.007282668,0.001485781,0.054135717,July 8 2023
23,2,23_2,9.28,0.030757287,0.029884367,-0.000872213,0.01421896,0.015701994,July 8 2023
23,3,23_3,17.9,0.017017059,0.029314778,0.008522474,0.007809892,0.035317682,July 8 2023
23,4,23_4,12.6,0.019162222,0.023150822,0.007174226,0.002039867,0.031082208,July 8 2023
23,5,23_5,17.4,0.026919521,0.031607287,0.005728565,0.00334779,0.023878854,July 8 2023
23,6,23_6,13.49,0.009553578,0.025444216,0.005641541,0.005628044,0.017112019,July 8 2023
23,7,23_7,11.27,0.022648567,0.040345768,-0.001448654,0.008851541,0.019872639,July 8 2023
23,8,23_8,11.51,0.021910083,0.027288304,0.010140981,0.002320322,0.04160276,July 8 2023
25b,1,25b_1,12.19,0.033675837,0.022439675,0.005857918,0.003378187,0.026896463,July 8 2023
25b,2,25b_2,12.9,0.023442117,0.026731231,0.00557292,0.007872908,0.029038525,July 8 2023
25b,3,25b_3,17.6,0.007454176,0.004170764,0.008322125,0.000419142,0.037596942,July 8 2023
25b,4,25b_4,14.74,0.044886826,0.021169134,0.007721774,8.03589775939237e-05,0.022585611,July 8 2023
25b,5,25b_5,16.8,0.008341644,0.030749087,0.008053138,0.00409739,0.005721743,July 8 2023
25b,6,25b_6,13.25,0.02221075,0.035566527,0.00619777,0.002597423,0.010223359,July 8 2023
25b,7,25b_7,6.46,0.032467376,0.034911784,0.007063489,0.017938083,0.00815394,July 8 2023
25b,8,25b_8,11.24,0.021908628,0.027914567,0.006279634,0.003591121,0.049017089,July 8 2023
25b,9,25b_9,14.04,0.024056143,0.028189708,0.00275759,0.008908275,0.029834221,July 8 2023
25b,10,25b_10,9.38,0.020388808,0.050798864,0.004991482,0.002062087,0.029843633,July 8 2023
25b,11,25b_11,9.65,0.035452567,0.045765087,0.001455679,0.006142202,0.015338457,July 8 2023
25b,12,25b_12,9.74,0.02687657,0.001618793,0.015085969,0.001903059,0.024139908,July 8 2023
25b,13,25b_13,7.99,0.023578204,0.03338031,0.007312193,0.007134895,0.012586779,July 8 2023
25b,14,25b_14,7.3,0.040006608,0.034921612,0.002255991,0.009628687,0.038978128,July 8 2023
30,1,30_1,8.72,0.033302771,0.013217431,0.008493372,0.010634961,0.002190243,July 8 2023
30,2,30_2,10.16,0.031524098,0.041030623,0.003784164,0.011135083,0.02841916,July 8 2023
30,3,30_3,9.95,0.012956708,0.03506865,0.004147094,0.001691837,0.027302433,July 8 2023
30,4,30_4,11.48,0.019273892,0.029834997,0.008622718,-0.001219863,0.030752393,July 8 2023
30,5,30_5,10.14,0.018647133,0.035948265,0.00634335,0.006554177,0.043088608,July 8 2023
30,6,30_6,17.39,0.019440938,0.014737504,0.011791182,0.007548153,0.024390318,July 8 2023
30,7,30_7,12.48,0.025747973,0.042955755,0.00358152,0.006207521,-0.000471888,July 8 2023
30,8,30_8,15.01,0.020204433,0.025368085,0.00777528,0.008659357,0.024735637,July 8 2023
30,9,30_9,9.29,0.021361723,0.050978257,0.001487611,0.007176921,0.024759318,July 8 2023
30,10,30_10,15.43,0.031901105,0.018677124,0.007181371,0.00840099,0.011116736,July 8 2023
30,11,30_11,12.71,0.026743748,0.021603315,0.006275697,0.009654185,0.014285738,July 8 2023
30,12,30_12,11.58,0.025383942,0.024081678,0.007617078,-0.000486788,0.031521226,July 8 2023
30,13,30_13,9.26,0.036078814,0.017605678,0.005124703,0.017490381,0.004278182,July 8 2023
30,14,30_14,12.44,0.019591472,0.038396678,0.005079851,0.010775261,0.031812077,July 8 2023
30,15,30_15,8.87,0.026192581,0.040647115,0.006022434,0.008343285,0.010619552,July 8 2023
30,16,30_16,14.19,0.026924059,0.026487983,0.008261865,0.01419254,0.019069168,July 8 2023
33,1,33_1,10.54,0.024779621,0.025293524,0.004253122,-0.005057549,0.037325044,July 8 2023
33,2,33_2,17.37,0.019787314,0.022609403,0.006625754,0.006377108,0.02610946,July 8 2023
33,3,33_3,8.41,0.033088763,0.022784946,0.00778754,-0.000717846,0.038122607,July 8 2023
33,4,33_4,16.62,0.011201321,0.049656198,0.003502455,0.011115498,0.000423814,July 8 2023
33,5,33_5,12.14,0.018901204,0.036294016,0.00572348,0.013435562,0.022050473,July 8 2023
33,6,33_6,10.44,0.018363162,0.02850568,0.004468561,0.001721128,0.049118317,July 8 2023
33,7,33_7,9.64,0.035395492,0.006890461,0.010442227,0.00107833,0.025564059,July 8 2023
33,8,33_8,10.52,0.021119356,0.042982706,0.003673878,0.003270292,0.039241379,July 8 2023
33,9,33_9,14.1,0.021622219,0.029120258,0.009906004,0.005425687,0.026074985,July 8 2023
33,10,33_10,7.68,0.034857295,0.017768629,0.005262282,-0.004317088,0.051400318,July 8 2023
33,11,33_11,10.81,0.023749693,0.017947235,0.007429487,0.003283374,0.004715909,July 8 2023
33,12,33_12,15.02,0.015775946,0.042910213,0.005953955,-0.00130623,0.043155122,July 8 2023
33,13,33_13,10.89,0.022573917,0.055976886,0.006272523,0.001507367,0.007870069,July 8 2023
34,1,34_1,10.69,0.032452101,0.053633794,0.003312102,0.000303525,0.016015905,July 8 2023
34,2,34_2,16.14,0.032762922,0.027459453,0.004108026,0.007440664,0.03827514,July 8 2023
34,3,34_3,16.12,0.031907663,0.001593757,0.003259774,0.009036614,0.024348871,July 8 2023
34,4,34_4,8.51,NA,NA,NA,NA,NA,July 8 2023
34,5,34_5,10.76,0.028419636,0.017772347,0.009816616,0.011616188,0.020005438,July 8 2023
34,6,34_6,15.37,0.027758905,0.032869933,0.001801146,0.020850843,-0.00964142,July 8 2023
34,7,34_7,13.82,0.029050545,0.038104112,0.00041372,0.000219244,0.049666093,July 8 2023
34,8,34_8,14.79,0.03489053,0.031778544,0.007688505,0.014385998,0.013654389,July 8 2023
34,9,34_9,13,0.027675461,0.033930407,0.003013788,0.015485685,0.019073378,July 8 2023
34,10,34_10,10.26,0.034079825,0.0232234,0.004804934,0.012937899,0.010625948,July 8 2023
34,11,34_11,13.61,0.020819706,0.021772556,0.002210698,0.008566461,0.035302088,July 8 2023
34,12,34_12,8.94,0.02339887,0.0246995,0.007528436,-0.005456221,0.052645248,July 8 2023
34,13,34_13,9.26,0.015526984,0.031814361,0.003288842,0.01061494,0.016445686,July 8 2023
35,1,35_1,14.47,0.024141918,0.038310628,0.002826115,0.021012475,0.022761911,July 8 2023
35,2,35_2,15.19,0.019368586,0.035604723,0.005010849,0.006702917,0.040179165,July 8 2023
