"","X","UniID","mom","ID","temp","active","instar","time","duration","Mo","fw","time.per","mgain","rgrlog","gr"
"3669",3669,"29.9.5","9",5,29,"y",4,6.1,6.1,14.7,20.24,"past",5.54,0.0227693726917353,0.908196721311475
"3674",3674,"29.9.6","9",6,29,"y",4,6.1,6.1,15.09,20.73,"past",5.64,0.0226082069374215,0.924590163934426
"3679",3679,"29.9.7","9",7,29,"y",4,6.1,6.1,13.69,17.84,"past",4.15,0.0188510494928056,0.680327868852459
"3684",3684,"29.9.8","9",8,29,"y",4,6.1,6.1,14.15,20.67,"past",6.52,0.026980989633931,1.06885245901639
"3689",3689,"29.9.9","9",9,29,"y",4,6.1,6.1,15.92,23.25,"past",7.33,0.0269639170203808,1.2016393442623
"3694",3694,"29.9.10","9",10,29,"y",4,6.1,6.1,15.25,22.63,"past",7.38,0.0281007721757252,1.20983606557377
"3700",3700,"29.14.15","14",15,29,"y",4,6.1,6.1,15.61,22.08,"past",6.47,0.0246878960647121,1.06065573770492
"3705",3705,"29.18.4","18",4,29,"y",4,6.1,6.1,16.11,24.65,"past",8.54,0.0302821939662345,1.4
"3710",3710,"29.23.2","23",2,29,"y",4,6.1,6.1,13.6,20.45,"past",6.85,0.0290417055693677,1.12295081967213
"3715",3715,"29.27.14","27",14,29,"y",4,6.1,6.1,13.5,17.64,"past",4.14,0.0190434118525893,0.678688524590164
"3720",3720,"35.2.11","2",11,35,"y",4,5.283333333,5.283333333,10.15,15.92,"past",5.77,0.0369988052677763,1.09211356473767
"3726",3726,"35.4.7","4",7,35,"y",4,5.283333333,5.283333333,11.52,18.73,"past",7.21,0.0399530533062514,1.36466876980219
"3731",3731,"35.7.6","7",6,35,"y",4,5.283333333,5.283333333,14.74,20.31,"past",5.57,0.0263493577079919,1.05425867514538
"3736",3736,"35.7.13","7",13,35,"y",4,5.283333333,5.283333333,14.12,17.25,"past",3.13,0.016458246567633,0.592429022119396
"3741",3741,"35.7.14","7",14,35,"y",4,5.283333333,5.283333333,13.52,20.65,"past",7.13,0.0348157787504873,1.34952681396527
"3747",3747,"35.9.2","9",2,35,"y",4,5.283333333,5.283333333,13.25,17.23,"past",3.98,0.0215904225581827,0.753312302886644
"3752",3752,"35.16.12","16",12,35,"y",4,5.283333333,5.283333333,13.08,19.33,"past",6.25,0.032105509788834,1.18296529975918
"3758",3758,"35.18.8","18",8,35,"y",4,5.283333333,5.283333333,11.26,17.84,"past",6.58,0.0378277210480857,1.24542586758646
"3764",3764,"35.18.15","18",15,35,"y",4,5.283333333,5.283333333,10.84,15.64,"past",4.8,0.0301339053371935,0.908517350215048
"3769",3769,"35.19.4","19",4,35,"y",4,5.283333333,5.283333333,10.77,17.45,"past",6.68,0.039668087320588,1.26435331238261
"3775",3775,"35.22.5","22",5,35,"y",4,5.283333333,5.283333333,12.39,18.68,"past",6.29,0.033748687481879,1.19053627767764
"3780",3780,"35.25.10","25",10,35,"y",4,5.283333333,5.283333333,10.3,16.51,"past",6.21,0.0387841984676119,1.17539432184072
"3786",3786,"35.26.9","26",9,35,"y",4,5.283333333,5.283333333,10.53,16.95,"past",6.42,0.0391308513627744,1.21514195591263
"3792",3792,"35.31.3","31",3,35,"y",4,5.283333333,5.283333333,12.77,16.61,"past",3.84,0.0216111170716434,0.726813880172039
"3797",3797,"40.5.14","5",14,40,"y",4,6.383333333,6.383333333,13.68,22.14,"past",8.46,0.0327558515670275,1.32532637082639
"3802",3802,"40.6.13","6",13,40,"y",4,6.383333333,6.383333333,9.74,15.67,"past",5.93,0.0323514422351057,0.928981723286109
"3807",3807,"40.7.8","7",8,40,"y",4,6.383333333,6.383333333,8.05,10.91,"past",2.86,0.0206833739259584,0.448041775480315
"3810",3810,"40.13.7","13",7,40,"y",4,6.383333333,6.383333333,14.47,17.17,"past",2.7,0.0116399630358891,0.422976501327571
"3814",3814,"40.13.9","13",9,40,"y",4,6.383333333,6.383333333,13.9,18.81,"past",4.91,0.0205807825540173,0.76919060056236
"3817",3817,"40.13.15","13",15,40,"y",4,6.383333333,6.383333333,14.54,17.27,"past",2.73,0.0117067254906019,0.42767624023121
"3822",3822,"40.15.2","15",2,40,"y",4,6.383333333,6.383333333,15.43,19.32,"past",3.89,0.0152962709171945,0.609399477838611
"3824",3824,"40.15.3","15",3,40,"y",4,6.383333333,6.383333333,11.3,13.48,"past",2.18,0.0120017935331408,0.34151436033115
"3826",3826,"40.17.1","17",1,40,"y",4,6.383333333,6.383333333,14.72,17.29,"past",2.57,0.0109483838030431,0.402610966078465
"3830",3830,"40.19.10","19",10,40,"y",4,6.383333333,6.383333333,12.79,18.2,"past",5.41,0.0240001321432513,0.847519582289688
"3833",3833,"40.19.11","19",11,40,"y",4,6.383333333,6.383333333,13.84,16.17,"past",2.33,0.0105859942228497,0.365013054849348
"3837",3837,"40.19.12","19",12,40,"y",4,6.383333333,6.383333333,12.34,16.02,"past",3.68,0.0177567653352869,0.576501305513133
"3840",3840,"40.22.4","22",4,40,"y",4,6.383333333,6.383333333,13.88,15.5,"past",1.62,0.00751053243665151,0.253785900796542
"3843",3843,"40.22.5","22",5,40,"y",4,6.383333333,6.383333333,15.14,15.59,"past",0.45,0.00199272689693764,0.0704960835545951
