"","Species","Population","Study.Site","Mom","ID","f.ind","Mi","RGR23","RGR29","RGR11","RGR17","RGR35","expt","Pupated","Time.to.Pupation","Pupa.wt","Eclosed","Time.to.Eclosion","Sex","Butt..Wt","Fecundity","period","uid"
"22","Pieris_rapae","Seattle_WA","Study.Site",17,22,"17_22_june",45.63,0.0269313373562174,0.0310201099431327,0.00422888448221197,0.0122693433852269,0.0228859424244809,"june",1,10,165.95,1,19,"F",109.52,NA,"recent","17_22_june"
"23","Pieris_rapae","Seattle_WA","Study.Site",17,23,"17_23_june",37.04,0.0205122577874358,0.0186989793034716,0.00813598747004359,-0.000215174806879326,0.00944104336087619,"june",1,11,154.41,1,19,"F",82.65,NA,"recent","17_23_june"
"24","Pieris_rapae","Seattle_WA","Study.Site",18,1,"18_1_june",49.31,0.0323960925168007,0.0206835954304569,0.00820137079454604,0.0112127847124515,0.0249036058922999,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","18_1_june"
"25","Pieris_rapae","Seattle_WA","Study.Site",18,2,"18_2_june",51.09,0.0252794160633162,0.026470950140342,0.0021360707607694,0.00804540146962734,0.0307776565660654,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","18_2_june"
"26","Pieris_rapae","Seattle_WA","Study.Site",18,3,"18_3_june",60.12,0.028599349482496,0.0179812497303193,0.00942127604733411,0.00967826270656963,0.0237925426267672,"june",1,10,NA,0,NA,NA,NA,NA,"recent","18_3_june"
"27","Pieris_rapae","Seattle_WA","Study.Site",18,4,"18_4_june",52.43,0.0328105035623211,0.0204488464895587,0.000478740462794264,0.00905217526765007,0.0398462277005849,"june",1,10,209.95,1,19,"F",130.58,NA,"recent","18_4_june"
"28","Pieris_rapae","Seattle_WA","Study.Site",18,5,"18_5_june",55.85,0.0277326737820712,0.0311593426075918,0.00299210947656635,0.00873844938429849,0.0304115628616346,"june",1,10,NA,0,NA,NA,NA,NA,"recent","18_5_june"
"29","Pieris_rapae","Seattle_WA","Study.Site",18,6,"18_6_june",41.51,0.0253488339598866,0.0163450570158142,0.00767726845755353,-6.181361981752e-05,0.00146931917937235,"june",1,11,150.31,1,18,"F",60.84,NA,"recent","18_6_june"
"30","Pieris_rapae","Seattle_WA","Study.Site",18,7,"18_7_june",54.94,0.0274844612131778,0.00987294983200225,0.0106521416111611,0.0136961492689346,0.034806076086721,"june",1,11,207.08,1,20,"F",87.56,NA,"recent","18_7_june"
"31","Pieris_rapae","Seattle_WA","Study.Site",18,8,"18_8_june",40.52,0.0207876733219939,0.0236644536250041,0.00569059773817541,-6.33221994607192e-05,0.0324246954879502,"june",1,10,209.08,1,20,"M",82.12,NA,"recent","18_8_june"
